avatar_id,date,order_requests
78524,31,10
78498,5,4
78457,11,2
78465,19,6
78476,30,7
78506,13,6
78480,34,4
78528,35,9
78501,8,16
78512,19,9
78490,44,8
78500,7,6
78485,39,4
78502,9,8
78535,42,8
78435,19,1
78479,33,5
78537,44,11
78448,2,7
78481,35,4
78532,39,10
78428,4,1
78486,40,3
78534,41,11
78526,33,11
78521,28,6
78531,38,7
78548,17,2
78496,3,13
78523,30,10
78464,18,6
78511,18,10
78516,23,9
78530,37,8
78507,14,7
78438,28,2
78475,29,4
78462,16,1
78447,1,5
78503,10,4
78519,26,2
78452,6,5
78471,25,4
78433,17,2
78489,43,4
78533,40,11
78494,1,9
78466,20,5
78488,42,7
78536,43,9
78493,0,8
78504,11,6
78459,13,3
78467,21,3
78509,16,9
78549,26,2
78515,22,6
78484,38,7
78517,24,4
78455,9,5
78469,23,6
78483,37,3
78458,12,2
78529,36,9
78473,27,3
78440,34,2
78508,15,6
78482,36,8
78474,28,3
78527,34,5
78463,17,3
78449,3,3
78513,20,6
78450,4,5
78453,7,6
78460,14,3
78470,24,5
78495,2,7
78550,29,2
78477,31,3
78478,32,2
78525,32,10
78423,8,1
78541,12,2
78505,12,5
78544,6,2
78446,0,4
78426,0,1
78518,25,9
78542,2,1
78461,15,3
78497,4,3
78487,41,6
78520,27,4
78454,8,4
78522,29,4
78547,11,1
78441,37,1
78432,15,1
78425,24,2
78499,6,5
78429,5,1
78420,43,3
82765,10,1
78427,1,1
78451,5,3
78431,8,1
78472,26,4
78434,18,1
78551,39,3
78510,17,3
78468,22,3
78442,39,2
78545,7,1
78437,27,1
78421,13,1
78456,10,1
78422,27,2
78436,20,1
78443,40,2
78424,42,2
78546,9,1
78543,4,1
78514,21,2
78439,33,2
78430,7,1
82766,35,2
82767,43,3
82768,38,2
85833,29,2
85831,17,2
85830,12,1
85828,6,1
85834,36,3
85835,37,2
85827,5,2
85829,10,1
85832,18,1
85844,33,1
85838,5,1
85836,2,1
85841,28,1
85843,30,3
85837,3,1
85840,22,1
85842,29,2
85839,19,2
85853,43,1
85847,18,1
85851,33,2
85846,12,1
85848,24,1
85849,27,4
85852,38,1
85845,2,1
85850,32,1
85854,0,1
85855,44,2
85857,43,1
85858,36,3
85859,22,1
85860,0,1
85861,17,1
85862,39,2
85865,23,2
85870,42,1
85864,16,1
85863,0,2
85867,35,2
85868,38,4
85869,41,1
85866,33,2
85874,43,4
85873,34,3
85871,18,1
85872,30,2
85879,43,2
85878,42,3
85877,36,2
85875,11,1
85876,20,1
85880,0,1
85895,42,2
85896,43,4
85882,3,1
85888,25,2
85893,36,2
85890,28,2
85885,21,2
85887,23,1
85883,10,1
85892,35,1
85881,2,2
85886,22,1
85891,29,1
85884,11,1
85889,26,3
85894,37,2
85913,39,2
85914,44,2
85907,29,2
85898,3,1
85912,38,1
85899,4,1
85905,19,2
85906,25,1
85910,35,2
85900,5,2
85904,12,2
85897,2,1
85902,8,1
85903,9,1
85909,32,2
85911,37,2
85908,30,1
85901,7,1
85926,36,2
85929,42,1
85927,40,2
85917,4,2
85930,43,2
85916,2,1
85920,17,2
85921,19,3
85919,11,1
85918,6,3
85915,0,1
85928,41,2
85923,28,1
85922,24,1
85925,34,3
85924,29,1
85942,16,2
85933,2,2
85934,4,1
85944,20,3
85931,0,2
85947,27,5
85938,11,1
85932,1,1
85936,8,3
85939,13,1
85952,36,2
85935,7,2
85945,24,2
85948,29,2
85951,34,1
85950,31,1
85940,14,1
85946,25,1
85943,18,1
85955,42,4
85949,30,1
85953,39,2
85941,15,1
85957,44,3
85956,43,4
85937,10,1
85954,40,2
85958,1,2
85961,5,3
85972,22,4
85983,39,1
85962,7,2
85968,15,2
85967,14,1
85969,16,2
85966,13,2
85976,28,2
85978,30,3
85965,12,1
85964,9,1
85977,29,2
85980,34,4
85975,27,3
85982,37,3
85970,18,3
85959,3,1
85960,4,1
85979,33,3
85974,24,4
85971,21,2
85963,8,1
85973,23,1
85984,44,2
85981,36,1
85989,7,3
85995,14,3
86000,19,3
86005,25,1
86019,42,3
86004,24,3
86013,36,2
86008,30,3
86003,23,4
85986,2,2
86011,34,2
86020,43,5
86015,38,5
85991,10,3
86007,28,4
85994,13,3
86017,40,5
86006,27,4
85992,11,2
85993,12,3
85998,17,5
86016,39,3
86009,31,2
86021,44,4
85985,1,2
86012,35,2
86018,41,2
85997,16,1
85988,5,2
86014,37,3
86002,21,4
86001,20,3
85987,4,2
85990,8,1
85996,15,3
85999,18,1
86010,33,3
86034,12,4
86033,11,3
86030,8,3
86042,20,4
86050,30,2
86041,19,2
86023,1,1
86058,38,5
86040,18,5
86029,7,3
86047,27,3
86038,16,1
86059,39,2
86055,35,2
86044,24,1
86022,0,1
86036,14,2
86053,33,3
86051,31,3
86049,29,2
86026,4,3
86061,41,4
86046,26,2
86039,17,1
86052,32,2
86031,9,2
86048,28,4
86043,23,2
86025,3,2
86063,43,3
86062,42,5
86028,6,1
86045,25,1
86037,15,4
86027,5,1
86064,44,2
86056,36,1
86032,10,1
86054,34,2
86024,2,1
86035,13,1
86057,37,1
86060,40,2
86100,44,5
86083,26,2
86087,30,4
86086,29,5
86097,40,3
86094,37,3
86065,0,2
86081,24,3
86069,7,1
86071,9,1
86099,42,4
86090,33,5
86093,36,3
86084,27,2
86074,14,2
86072,11,1
86073,12,1
86066,2,1
86075,15,1
86085,28,2
86082,25,2
86068,5,1
86079,22,1
86091,34,2
86080,23,3
86098,41,4
86076,17,2
86096,39,3
86092,35,2
100086,7,1
100087,25,2
100088,16,2
100097,39,1
100096,33,1
100095,29,2
100098,42,2
100089,0,1
100091,6,1
100094,24,2
100092,14,1
100090,1,1
100093,19,1
100106,42,3
100100,10,1
100104,39,5
100102,17,1
100101,13,2
100103,33,3
100099,2,1
100105,41,2
100107,1,1
100112,21,4
100113,29,2
100108,4,1
100115,44,2
100114,36,1
100109,14,1
100111,20,1
100110,15,1
100120,12,4
100116,4,2
100123,40,3
100121,23,2
100122,35,2
100118,10,1
100119,11,1
100117,7,1
100127,13,2
100126,10,1
100128,24,4
100129,30,3
100124,1,1
100130,41,3
100131,42,2
100125,2,1
100137,17,1
100134,5,1
100133,4,1
100140,33,3
100141,37,1
100138,21,1
100139,31,1
100136,10,1
100135,9,1
100132,2,1
100143,2,1
100171,39,3
100175,44,2
100165,30,2
100151,11,2
100156,17,2
100145,4,2
100173,42,4
100155,15,1
100150,10,2
100164,29,1
100152,12,1
100157,19,4
100144,3,1
100142,0,1
100159,22,4
100169,36,4
100149,9,1
100160,23,2
100167,32,2
100174,43,1
100170,37,2
100163,28,2
100147,7,1
100153,13,3
100148,8,2
100168,34,1
100146,6,1
100162,26,1
100161,25,1
100166,31,2
100154,14,2
100158,20,1
100172,40,3
100203,35,3
100198,30,2
100184,10,2
100182,8,2
100202,34,4
100186,13,2
100201,33,4
100183,9,4
100180,6,1
100191,19,4
100176,0,2
100204,37,3
100200,32,2
100207,42,2
100195,24,2
100189,16,2
100185,12,1
100181,7,2
100205,38,1
100208,43,2
100206,39,5
100178,4,1
100192,20,1
100193,22,1
100187,14,1
100199,31,2
100196,25,1
100194,23,1
100177,2,1
100179,5,1
100197,28,2
100188,15,1
100190,17,2
100226,27,3
100221,19,1
100215,11,1
100235,39,5
100236,41,2
100222,20,3
100231,34,3
100212,7,2
100229,32,1
100237,42,2
100217,13,1
100210,3,3
100211,4,1
100232,35,3
100225,26,1
100209,0,1
100216,12,2
100227,28,3
100214,10,2
100223,22,2
100219,16,1
100230,33,4
100239,44,2
100213,8,2
100228,30,2
100224,23,1
100238,43,3
100233,37,3
100234,38,4
100218,14,2
100220,17,1
100262,34,3
100266,40,4
100261,33,4
100241,1,3
100268,42,6
100269,43,5
100255,24,3
100246,11,2
100248,16,1
100243,5,3
100242,3,1
100247,15,1
100251,19,1
100265,38,2
100254,23,3
100260,31,4
100258,28,2
100256,25,1
100245,10,1
100264,37,2
100267,41,3
100263,35,3
100253,22,1
100252,21,2
100244,6,1
100250,18,2
100257,26,3
100240,0,1
100249,17,1
100259,30,2
100294,40,3
100277,9,2
100278,10,3
100281,16,5
100290,33,2
100271,1,2
100280,15,3
100274,6,2
100289,32,5
100279,13,4
100275,7,1
100291,34,4
100283,24,4
100292,35,2
100276,8,2
100297,44,2
100282,22,2
100273,3,3
100288,31,1
100285,27,1
100296,42,1
100287,30,2
100272,2,1
100270,0,1
100295,41,1
100284,25,2
100286,29,1
100293,39,2
100318,31,5
100312,20,2
100301,3,2
100309,16,1
100304,7,4
100298,0,3
100324,39,3
100319,32,4
100327,42,4
100311,19,2
100306,10,4
100302,4,1
100315,25,2
100300,2,2
100305,8,2
100320,35,2
100310,18,2
100299,1,1
100328,43,3
100308,12,2
100316,26,2
100307,11,2
100326,41,2
100322,37,2
100321,36,2
100303,5,1
100314,24,2
100323,38,2
100325,40,2
100317,30,2
100313,23,1
100349,34,3
100356,44,3
100339,17,4
100343,24,3
100352,38,3
100340,19,1
100347,31,3
100333,5,1
100351,37,3
100348,32,3
100335,9,1
100344,25,1
100346,29,1
100331,2,1
100342,23,3
100338,16,1
100353,40,5
100334,8,1
100332,4,3
100354,41,5
100329,0,3
100337,14,1
100350,35,5
100330,1,1
100341,22,1
100355,42,3
100336,12,2
100345,27,2
100359,2,1
100375,20,1
100383,32,1
100374,19,1
100361,4,2
100389,39,4
100357,0,2
100387,36,2
100391,42,3
100373,18,1
100368,13,1
100386,35,3
100360,3,2
100381,27,2
100367,12,4
100378,24,3
100366,11,1
100377,23,3
100380,26,2
100365,10,2
100376,22,1
100362,5,2
100371,16,1
100390,40,2
100364,9,1
100379,25,2
100392,44,4
100372,17,2
100370,15,2
100358,1,2
100384,33,1
100382,31,1
100385,34,1
100363,8,1
100388,38,2
100369,14,1
100398,10,2
100399,12,2
100394,1,1
100407,31,2
100412,42,4
100402,22,3
100397,7,2
100409,39,4
100400,13,2
100393,0,1
100395,2,1
100413,44,3
100396,3,2
100410,40,2
100404,25,2
100408,37,3
100401,16,2
100411,41,3
100405,28,2
100403,23,1
100406,30,2
100419,30,2
100416,12,2
100415,8,1
100422,43,4
100421,42,3
100414,0,1
100417,13,1
100420,39,2
100418,14,1
100427,31,2
100426,19,3
100430,41,4
100429,38,2
100424,11,1
100431,42,2
100425,12,1
100428,35,2
100423,5,1
100437,35,2
100440,41,3
100432,1,1
100433,11,1
100436,32,3
100434,16,1
100439,39,2
100435,25,3
100438,38,2
100448,39,1
100443,21,2
100445,23,3
100447,28,1
100446,24,1
100442,10,2
100444,22,2
100441,1,1
100451,6,1
100450,5,2
100455,33,1
100456,38,3
100453,11,1
100452,8,1
100449,0,1
100457,43,1
100454,20,2
100466,43,3
100460,20,1
100459,13,3
100464,29,2
100465,40,2
100458,11,1
100461,22,1
100463,28,1
100462,24,2
100497,42,4
100477,13,1
100467,0,2
100493,34,3
100484,21,2
100483,19,2
100482,18,1
100479,15,2
100491,31,4
100490,29,3
100473,7,3
100468,1,2
100485,22,1
100488,26,2
100471,5,1
100470,3,1
100475,11,1
100469,2,1
100472,6,1
100498,44,3
100489,28,3
100478,14,1
100495,40,2
100487,24,1
100476,12,3
100480,16,1
100474,9,2
100486,23,3
103699,29,1
103703,16,1
103702,5,1
103700,0,1
104444,0,1
104450,39,3
104447,20,2
104452,44,3
104448,22,2
104445,3,1
104449,25,1
104446,8,1
104451,43,2
104470,17,5
104465,12,2
104468,15,5
104474,21,3
104490,39,3
104481,28,2
104455,2,2
104460,7,1
104457,4,5
104459,6,3
104454,1,2
104487,36,6
104493,42,5
104486,35,3
104484,31,2
104476,23,2
104466,13,3
104458,5,5
104461,8,6
104473,20,3
104478,25,3
104471,18,3
104483,30,2
104491,40,4
104485,34,4
104463,10,3
104467,14,2
104488,37,4
104480,27,3
104469,16,5
104462,9,3
104479,26,3
104472,19,1
104489,38,1
104494,43,4
104492,41,2
104456,3,1
104482,29,3
104475,22,1
104453,0,2
104477,24,2
104495,44,3
104464,11,2
104504,9,6
104501,6,2
104507,12,3
104531,39,1
104530,35,2
104497,1,5
104509,14,3
104535,43,3
104499,4,2
104515,20,5
104519,24,5
104517,22,3
104532,40,4
104512,17,2
104533,41,4
104506,11,1
104522,27,2
104514,19,3
104526,31,2
104534,42,3
104500,5,5
104521,26,3
104516,21,1
104503,8,3
104520,25,4
104508,13,2
104529,34,1
104505,10,4
104498,3,1
104502,7,4
104525,30,6
104524,29,5
104511,16,1
104510,15,2
104527,32,1
104528,33,3
104523,28,3
104513,18,1
104496,0,2
104518,23,3
104536,44,4
104557,22,5
104542,5,3
104567,34,2
104558,23,3
104559,25,3
104549,13,2
104543,6,2
104546,9,2
104566,33,5
104562,28,4
104571,38,2
104539,2,1
104575,42,2
104550,14,3
104552,16,5
104540,3,3
104551,15,4
104573,40,4
104541,4,2
104544,7,2
104568,35,1
104538,1,3
104576,43,5
104561,27,5
104556,21,2
104570,37,3
104572,39,7
104577,44,4
104555,19,2
104545,8,3
104547,10,3
104574,41,3
104563,29,1
104548,12,3
104554,18,1
104565,32,3
104569,36,4
104564,31,1
104553,17,3
104537,0,2
104560,26,1
104602,26,7
104588,10,2
104607,31,3
104617,42,5
104590,12,4
104583,5,4
104593,15,2
104603,27,2
104599,23,4
104600,24,7
104585,7,4
104612,36,7
104596,20,3
104597,21,4
104608,32,3
104587,9,2
104598,22,3
104610,34,3
104582,4,1
104578,0,2
104605,29,3
104594,16,2
104579,1,2
104581,3,1
104616,41,2
104618,43,4
104613,37,3
104584,6,2
104591,13,2
104609,33,4
104589,11,2
104611,35,2
104595,19,1
104615,39,3
104592,14,1
104586,8,1
104604,28,2
104601,25,1
104606,30,4
104619,44,2
104614,38,2
104580,2,1
124671,24,4
124656,9,4
124649,2,5
124688,44,5
124662,15,2
124665,18,3
124654,7,3
124669,22,4
124682,36,3
124686,41,3
124666,19,3
124657,10,1
124687,42,5
124674,27,2
124658,11,3
124683,38,4
124663,16,2
124685,40,6
124675,28,4
124668,21,4
124684,39,3
124660,13,2
124679,32,4
124653,6,3
124676,29,5
124678,31,4
124661,14,3
124673,26,2
124655,8,2
124681,35,4
124670,23,3
124680,34,3
124652,5,3
124659,12,2
124672,25,3
124677,30,3
124664,17,1
124651,4,2
124667,20,1
124650,3,1
124713,24,10
124717,28,6
124689,0,15
124720,31,9
124710,21,11
124730,41,10
124727,38,6
124698,9,4
124715,26,9
124700,11,14
124729,40,9
124705,16,11
124721,32,12
124711,22,7
124696,7,8
124731,42,11
124712,23,10
124693,4,6
124728,39,8
124718,29,9
124701,12,13
124707,18,10
124726,37,8
124702,13,9
124691,2,8
124697,8,11
124722,33,10
124716,27,12
124714,25,15
124699,10,8
124708,19,10
124719,30,9
124733,44,8
124695,6,8
124724,35,8
124723,34,10
124709,20,8
124704,15,9
124703,14,9
124694,5,9
124725,36,7
124690,1,9
124732,43,7
124706,17,5
124692,3,6
124752,20,3
124751,19,2
124744,11,1
124742,9,3
124746,14,3
124761,30,5
124756,25,2
124734,1,4
124766,36,4
124740,7,5
124749,17,2
124760,29,5
124763,33,1
124759,28,2
124758,27,3
124765,35,3
124771,41,5
124767,37,4
124745,13,3
124741,8,3
124738,5,3
124736,3,2
124770,40,5
124768,38,2
124735,2,4
124757,26,3
124754,23,2
124755,24,1
124772,43,3
124739,6,1
124737,4,2
124753,22,3
124748,16,3
124750,18,1
124762,31,4
124764,34,3
124769,39,3
124747,15,1
124743,10,1
131017,27,4
131007,15,2
131023,33,5
131003,11,2
131014,23,2
131008,16,3
130998,5,2
131004,12,3
131012,21,4
131030,41,6
130996,2,2
131009,17,4
131024,34,3
131001,10,2
130999,7,2
131005,13,2
130997,4,3
131033,44,4
131016,26,3
131006,14,2
131021,31,2
131032,43,7
131022,32,2
130994,0,3
131025,35,3
131018,28,7
131015,24,2
131031,42,4
131029,40,4
131019,29,2
131026,36,5
131013,22,6
131020,30,4
131011,19,1
130995,1,3
131000,9,3
131027,37,2
131010,18,2
131028,39,2
131493,42,5
131458,2,2
131482,29,7
131470,16,3
131474,20,3
131468,14,1
131467,13,1
131477,23,2
131461,6,5
131478,24,3
131455,0,2
131491,40,5
131487,34,7
131462,7,4
131460,4,2
131490,39,6
131488,35,5
131486,33,3
131476,22,1
131463,8,3
131494,43,3
131483,30,4
131459,3,4
131466,12,7
131479,25,2
131480,26,1
131464,9,2
131481,27,1
131484,31,4
131465,10,1
131472,18,2
131471,17,5
131489,36,1
131473,19,5
131475,21,3
131469,15,1
131457,1,4
131485,32,1
131523,24,6
131516,15,5
131521,22,1
131526,27,4
131517,17,6
131534,35,5
131510,8,2
131513,12,4
131531,32,2
131535,37,2
131515,14,6
131536,38,2
131503,1,4
131527,28,2
131506,4,4
131520,20,2
131533,34,3
131511,9,2
131524,25,5
131538,41,4
131539,42,4
131508,6,2
131512,10,4
131504,2,3
131530,31,3
131509,7,1
131532,33,2
131541,44,2
131537,40,3
131507,5,2
131529,30,3
131522,23,3
131505,3,2
131525,26,5
131540,43,4
131528,29,2
131502,0,4
131519,19,2
131518,18,2
131571,25,3
131556,10,3
131567,21,3
131575,30,5
131570,24,5
131558,12,5
131587,44,5
131569,23,3
131564,19,4
131551,3,3
131573,27,3
131582,38,2
131579,34,6
131566,20,1
131562,17,4
131555,9,2
131560,14,4
131580,35,2
131550,1,2
131574,28,1
131549,0,2
131576,31,1
131568,22,2
131586,43,7
131559,13,4
131561,15,3
131553,7,4
131577,32,4
131557,11,2
131581,36,5
131583,39,4
131585,41,3
131584,40,3
131563,18,3
131552,6,1
131572,26,1
131554,8,2
131578,33,2
131622,31,2
131633,42,3
131608,16,1
131600,5,2
131597,2,1
131630,39,3
131619,28,1
131624,33,1
166170,29,2
166171,30,5
166147,1,5
166158,17,5
166183,44,4
166172,31,7
166179,40,4
166173,32,4
166176,37,3
166169,28,2
166174,33,1
166167,26,3
166162,21,4
166150,4,3
166168,27,3
166160,19,8
166151,5,2
166182,43,3
166157,16,3
166159,18,7
166177,38,3
166166,25,5
166165,24,3
166178,39,3
166149,3,2
166180,41,3
166175,36,3
166181,42,3
166148,2,3
166156,14,1
166161,20,2
166152,7,3
166164,23,2
166154,10,1
166153,8,2
166155,13,4
166163,22,2
166219,39,3
166194,11,4
166198,15,3
166201,19,3
166210,29,3
166204,22,2
166209,28,5
166206,24,4
166186,2,2
166184,0,3
166188,4,4
166215,34,3
166205,23,5
166220,41,3
166213,32,2
166221,42,4
166197,14,3
166191,8,5
166207,26,7
166202,20,1
166200,18,1
166208,27,2
166218,38,7
166199,17,4
166223,44,3
166212,31,4
166185,1,5
166195,12,3
166190,7,3
166217,36,4
166203,21,2
166193,10,1
166216,35,2
166211,30,2
166222,43,7
166189,6,1
166192,9,2
166187,3,2
166196,13,2
166214,33,2
166239,16,8
166238,15,5
166251,28,3
166234,11,3
166250,27,9
166236,13,6
166260,37,7
166267,44,4
166255,32,7
166237,14,6
166233,10,5
166256,33,5
166266,43,7
166224,0,3
166244,21,6
166257,34,9
166230,7,4
166231,8,5
166240,17,4
166265,42,6
166258,35,5
166247,24,4
166246,23,5
166259,36,7
166243,20,8
166253,30,4
166242,19,4
166263,40,8
166232,9,7
166264,41,5
166226,3,5
166229,6,3
166262,39,5
166235,12,8
166252,29,3
166227,4,5
166254,31,4
166249,26,9
166225,1,3
166241,18,5
166245,22,2
166261,38,4
166228,5,1
166248,25,4
166273,5,5
166284,16,6
166295,27,7
166311,43,6
166268,0,2
166304,36,7
166307,39,5
166272,4,10
166277,9,8
166281,13,4
166289,21,6
166290,22,8
166287,19,5
166303,35,5
166275,7,6
166305,37,6
166291,23,1
166280,12,5
166297,29,7
166294,26,8
166269,1,5
166276,8,5
166309,41,7
166299,31,3
166283,15,2
166312,44,7
166308,40,3
166300,32,4
166285,17,4
166301,33,9
166292,24,4
166296,28,4
166298,30,4
166288,20,5
166278,10,3
166310,42,6
166274,6,2
166271,3,8
166293,25,5
166306,38,2
166302,34,9
166270,2,2
166286,18,2
166279,11,1
166282,14,3
166347,35,8
166342,30,4
166355,43,8
166329,16,5
166336,24,5
166343,31,2
166352,40,8
166356,44,6
166325,12,4
166333,21,4
166350,38,8
166337,25,5
166319,6,5
166322,9,10
166349,37,7
166314,1,3
166339,27,4
166348,36,4
166345,33,6
166332,20,6
166318,5,8
166320,7,4
166331,18,4
166335,23,6
166351,39,6
166341,29,8
166338,26,4
166326,13,9
166323,10,4
166317,4,5
166328,15,5
166346,34,7
166321,8,3
166353,41,9
166316,3,4
166334,22,3
166330,17,5
166354,42,5
166327,14,3
166340,28,4
166344,32,3
166313,0,2
166324,11,2
166315,2,3
166358,1,4
166364,7,6
166378,21,6
166360,3,5
166359,2,5
166365,8,7
166379,22,9
166393,36,5
166385,28,8
166391,34,7
166361,4,9
166387,30,7
166381,24,6
166367,10,2
166394,37,5
166368,11,5
166401,44,8
166396,39,8
166390,33,4
166369,12,6
166399,42,4
166376,19,7
166382,25,4
166366,9,3
166397,40,3
166384,27,3
166373,16,3
166400,43,8
166395,38,7
166386,29,4
166363,6,8
166388,31,6
166362,5,6
166389,32,5
166383,26,4
166372,15,5
166357,0,2
166380,23,3
166377,20,3
166370,13,2
166398,41,4
166374,17,1
166392,35,4
166371,14,4
166375,18,1
202004,28,3
202005,39,3
201999,18,1
201997,7,1
202002,25,3
201998,15,1
202003,27,2
202000,20,2
202001,22,2
202043,42,4
202036,35,6
202028,26,2
202039,38,3
202027,25,2
202008,2,4
202041,40,4
202007,1,1
202026,23,6
202042,41,3
202022,19,4
202015,9,1
202009,3,4
202035,33,4
202019,15,2
202011,5,1
202032,30,2
202014,8,3
202020,16,2
202016,10,4
202010,4,1
202013,7,6
202033,31,6
202021,17,4
202038,37,2
202034,32,3
202044,43,6
202040,39,2
202012,6,3
202017,12,6
202030,28,4
202018,14,2
202037,36,5
202025,22,4
202029,27,5
202023,20,2
202031,29,3
202006,0,1
202024,21,1
202073,28,10
202069,24,5
202055,10,5
202045,0,8
202049,4,3
202057,12,8
202050,5,6
202086,41,9
202061,16,9
202070,25,2
202072,27,6
202058,13,4
202082,37,5
202080,35,5
202084,39,2
202048,3,1
202059,14,5
202046,1,5
202067,22,6
202064,19,9
202062,17,10
202068,23,4
202085,40,1
202056,11,10
202053,8,4
202071,26,3
202079,34,3
202077,32,4
202051,6,5
202047,2,7
202065,20,6
202081,36,6
202074,29,3
202075,30,7
202083,38,6
202076,31,4
202052,7,3
202054,9,5
202063,18,2
202066,21,2
202088,43,6
202087,42,5
202060,15,3
202089,44,3
202078,33,4
202106,16,8
202124,34,7
202108,18,7
202107,17,3
202111,21,9
202104,14,10
202090,0,6
202130,40,9
202119,29,11
202128,38,7
202115,25,7
202122,32,6
202110,20,7
202096,6,7
202094,4,6
202105,15,5
202126,36,8
202101,11,6
202114,24,10
202113,23,3
202133,43,8
202127,37,9
202103,13,7
202132,42,9
202092,2,5
202099,9,11
202121,31,7
202091,1,12
202129,39,10
202100,10,7
202120,30,7
202118,28,8
202117,27,4
202125,35,7
202098,8,6
202093,3,5
202123,33,8
202102,12,8
202131,41,9
202095,5,7
202134,44,8
202097,7,6
202109,19,5
202112,22,2
202116,26,8
202163,28,6
202154,19,7
202167,32,9
202179,44,11
202169,34,8
202166,31,10
202137,2,6
202135,0,8
202150,15,13
202178,43,11
202136,1,13
202144,9,5
202162,27,10
202165,30,11
202142,7,16
202173,38,9
202149,14,12
202175,40,7
202155,20,11
202176,41,9
202140,5,7
202172,37,10
202156,21,14
202147,12,7
202141,6,9
202146,11,7
202139,4,6
202143,8,14
202174,39,8
202151,16,7
202161,26,9
202164,29,13
202177,42,8
202170,35,9
202171,36,8
202152,17,8
202148,13,8
202160,25,7
202138,3,7
202157,22,7
202153,18,6
202168,33,9
202158,23,5
202159,24,10
202145,10,4
233844,5,1
233845,0,1
233846,21,2
234335,44,3
234827,44,2
234828,44,3
234829,44,3
234830,44,2
234831,44,3
234832,44,3
234833,44,2
234834,44,1
234835,44,1
234836,44,3
234837,44,1
234838,44,2
234839,44,1
234840,44,2
234841,44,1
234842,44,1
234843,44,2
234844,44,1
234845,44,2
234846,44,1
234847,44,1
234848,44,1
